species,order,mass,tee
Microcebus_murinus,Primates,0.064,28
Lepilemur_ruficaudatus,Primates,0.77,121
Eulemur,Primates,1.84,146
Lemur_catta,Primates,2.24,146
Lemur_catta_captive,Primates,2.21,217
Propithecus_diadema,Primates,4.9,346
Alouatta_palliata,Primates,7.12,602
Papio_cynocephalus,Primates,12,813
Homo_sapiens_westerners,Primates,72.2,2482
Homo_sapiens_Hadza,Primates,46.6,2212
Callithrix_jacchus,Primates,0.45,51
Macaca_radiata,Primates,4.2,251
Allenopithecus_nigroviridis,Primates,7.9,524
Macaca_mulatta,Primates,14.4,607
Papio_anubis,Primates,16.2,832
Pan_paniscus,Primates,38,1767
Pan_troglodytes,Primates,57.1,2386
Pongo_pygmaeus,Primates,74.8,1984
Gorilla_gorilla,Primates,123.7,3160
Antidorcas_marsupialis,Artiodactyla,43.3,5760
Odocoileus_hemionus,Artiodactyla,39.1,4302.1
Oryx_leucoryx,Artiodactyla,89,5277.4
Oryx_aries,Artiodactyla,52.7,4046.3
Capreolus_capreolus,Artiodactyla,22.5,1230.5
Pipistrellus_pipistrellus,Chiroptera,0.007,7
Plecotus_auritus,Chiroptera,0.009,6.6
Myotis_lucifugus,Chiroptera,0.009,7.1
Anoura_caudifera,Chiroptera,0.012,12.4
Macrotus_californicus,Chiroptera,0.013,5.1
Eptesicus_fuscus,Chiroptera,0.021,10.4
Phyllostomus_hastatus,Chiroptera,0.081,34.9
Bassariscus_astutus,Carnivora,0.75,112.8
Vulpes_cana,Carnivora,0.97,153.4
Vulpes_macrotis,Carnivora,1.48,282
Vulpes_velox,Carnivora,2.1,425.4
Proteles_cristata,Carnivora,8.54,442.2
Lycaon_pictus,Carnivora,25.2,3656.8
Canis_lupus,Carnivora,37.3,4230.4
Suricata_suricatta,Carnivora,0.7,166.6
Lontra_canadensis,Carnivora,7.84,1132.4
Canis_familiaris,Carnivora,33.5,2024.3
Arctocephalus_galapagoensis,Pinnipedia,30.1,3108.5
Arctocephalus_gazella,Pinnipedia,34.6,5497.1
Callorhinus_ursinus,Pinnipedia,51.1,8628.1
Zalophus_californianus,Pinnipedia,78,9225.6
Neophoca_cinerea,Pinnipedia,83.5,9440.7
Phoca_vitulina,Pinnipedia,99,12547.8
Phocarctos_hookeri,Pinnipedia,116.4,13147.8
Lepus_californicus,Lagomorpha,1.8,310.7
Lepus_americanus,Lagomorpha,1.35,252.8
Bradypus_variegatus,Pilosa,4.15,130.3
Gerbillus_henleyi,Rodentia,0.009,6.3
Peromyscus_crinitus,Rodentia,0.013,9.4
Mus_musculus,Rodentia,0.015,11.3
Clethrionomys_rutilus,Rodentia,0.016,13.8
Chaetodipus_formosus,Rodentia,0.018,10.8
Peromyscus_maniculatus,Rodentia,0.018,12.8
Peromyscus_leucopus,Rodentia,0.019,9.9
Microtus_arvalis,Rodentia,0.02,21.5
Eremitalpa_namibensis,Rodentia,0.021,3
Gerbillus_allenbyi,Rodentia,0.023,8.5
Clethrionomys_glareolus,Rodentia,0.023,21
Microtus_agrestis,Rodentia,0.027,18.6
Gerbillus_pyramidum,Rodentia,0.032,10.8
Pseudomys_albocinereus,Rodentia,0.033,14.9
Dipodomys_merriami,Rodentia,0.34,11.4
Microtus_pennsylvanicus,Rodentia,0.037,27.5
Acomys_cahirinus,Rodentia,0.038,12.4
Sekeetamys_calurus,Rodentia,0.041,10.5
Acomys_russatus,Rodentia,0.045,11.4
Lemmus_trimucronatus,Rodentia,0.055,48
Dipodomys_microps,Rodentia,0.057,20.2
Mastomys_natalensis,Rodentia,0.057,20.7
Meriones_crassus,Rodentia,0.69,15.5
Arvicola_terrestris,Rodentia,0.086,28.4
Ammospermophilus_leucurus,Rodentia,0.087,21
Tamias_striatus,Rodentia,0.096,34.2
Thomomys_bottae,Rodentia,0.104,31.1
Psammomys_obesus,Rodentia,0.17,39.4
Spermophilus_saturatus,Rodentia,0.214,54
Spermophilus_parryii,Rodentia,0.63,195.3
Tamiasciurus_hudsonicus,Rodentia,0.203,81
Xerus_inauris,Rodentia,0.578,91.3
Marmota_flaviventris,Rodentia,3.19,580.8
Microgale_dobsoni,Afrosoricida,0.043,18.4
Microgale_talazaci,Afrosoricida,0.043,15.9